文件,单位ID,中文名,max_organisation,max_strength,default_morale,manpower,combat_width,training_time
infantry.txt,infantry,步兵,60,25,0.3,1000,2,90
infantry.txt,bicycle_battalion,自行车营,60,25,0.3,1000,2,90
infantry.txt,marine,海军陆战队,70,20,0.4,1000,2,120
infantry.txt,marine_commando,海军突击队,70,20,0.4,1000,2,120
infantry.txt,mountaineers,山地步兵,70,20,0.4,1000,2,120
infantry.txt,ranger_battalion,游骑兵,70,20,0.4,1000,2,120
infantry.txt,paratrooper,空降伞兵,70,22,0.4,1000,2,150
infantry.txt,motorized,摩托化步兵,60,25,0.3,1200,2,90
infantry.txt,mechanized,机械化步兵,60,30,0.3,1200,2,120
infantry.txt,penal_battalion,惩戒营,70,15,0.4,850,2,50
infantry.txt,irregular_infantry,非正规步兵,45,30,0.2,1000,2,30
infantry.txt,militia,民兵,50,25,0.3,1000,2,80
cavalry.txt,cavalry,骑兵,70,25,0.3,1000,2,120
cavalry.txt,camelry,骆驼骑兵,70,30,0.3,1000,2,160
armored_car_battalion.txt,armored_car,装甲车,20,5,0.3,500,2,180
light_armor.txt,light_armor,轻型坦克,10,2,0.3,500,2,180
medium_armor.txt,medium_armor,中型坦克,10,2,0.3,500,2,180
heavy_armor.txt,heavy_armor,重型坦克,10,2,0.3,500,2,180
modern_armor.txt,modern_armor,现代坦克,10,2,0.3,500,2,180
amphibious_armor.txt,amphibious_armor,两栖坦克营,10,2,0.3,500,2,180
amphibious_armor.txt,amphibious_light_armor,轻型两栖坦克营,10,2,0.3,500,2,180
amphibious_armor.txt,amphibious_medium_armor,中型两栖坦克营,10,2,0.3,500,2,180
amphibious_armor.txt,amphibious_heavy_armor,重型两栖坦克营,10,2,0.3,500,2,180
amphibious_mech.txt,amphibious_mechanized,两栖机步营,60,30,0.3,1200,2,120
sp_anti-air_brigade.txt,light_sp_anti_air_brigade,轻型自行防空炮,0,0.6,0.1,500,2,180
sp_anti-air_brigade.txt,medium_sp_anti_air_brigade,中型自行防空炮,0,0.6,0.1,500,2,180
sp_anti-air_brigade.txt,heavy_sp_anti_air_brigade,重型自行防空炮,0,0.6,0.1,500,2,180
sp_anti-air_brigade.txt,modern_sp_anti_air_brigade,现代自行防空炮,0,0.6,0.1,500,2,180
sp_artillery_brigade.txt,light_sp_artillery_brigade,轻型自行火炮,0,0.6,0.1,500,2,180
sp_artillery_brigade.txt,medium_sp_artillery_brigade,中型自行火炮,0,0.6,0.1,500,2,180
sp_artillery_brigade.txt,heavy_sp_artillery_brigade,重型自行火炮,0,0.6,0.1,500,2,180
sp_artillery_brigade.txt,modern_sp_artillery_brigade,现代自行火炮,0,0.6,0.1,500,2,180
tank_destroyer_brigade.txt,light_tank_destroyer_brigade,轻型自行反坦克炮,0,0.6,0.3,500,2,180
tank_destroyer_brigade.txt,medium_tank_destroyer_brigade,中型自行反坦克炮,0,0.6,0.3,500,2,180
tank_destroyer_brigade.txt,heavy_tank_destroyer_brigade,重型自行反坦克炮,0,0.6,0.3,500,2,180
tank_destroyer_brigade.txt,modern_tank_destroyer_brigade,现代自行反坦克炮,0,0.6,0.3,500,2,180
artillery_brigade.txt,artillery_brigade,炮兵,0,1.6,0.1,500,3,120
artillery_brigade.txt,mot_artillery_brigade,摩托化炮兵,0,1.6,0.1,500,3,120
artillery_brigade.txt,rocket_artillery_brigade,火箭炮,0,1.6,0.1,500,3,120
artillery_brigade.txt,mot_rocket_artillery_brigade,牵引式火箭炮营,0,1.6,0.1,500,3,120
artillery_brigade.txt,motorized_rocket_brigade,自行火箭炮,0,1.6,0.1,500,3,120
anti_tank_brigade.txt,anti_tank_brigade,反坦克炮,0,1.6,0,500,1,120
anti_tank_brigade.txt,mot_anti_tank_brigade,摩托化反坦克炮,0,1.6,0,500,1,120
anti-air_brigade.txt,anti_air_brigade,防空炮,0,1.6,0.1,500,1,120
anti-air_brigade.txt,mot_anti_air_brigade,摩托化防空炮,0,1.6,0.1,500,1,120
