单位ID,中文名,组织度,战宽,类型
infantry,步兵,60,2,步兵
bicycle_battalion,自行车营,60,2,步兵
marine,海军陆战队,70,2,步兵
marine_commando,海军突击队,70,2,步兵
mountaineers,山地步兵,70,2,步兵
ranger_battalion,游骑兵,70,2,步兵
paratrooper,空降伞兵,70,2,步兵
motorized,摩托化步兵,60,2,摩托化
mechanized,机械化步兵,60,2,机械化
penal_battalion,惩戒营,70,2,步兵
irregular_infantry,非正规步兵,45,2,步兵
militia,民兵,50,2,步兵
cavalry,骑兵,70,2,骑兵
camelry,骆驼骑兵,70,2,骑兵
armored_car,装甲车,20,2,装甲车
light_armor,轻型坦克,10,2,坦克
medium_armor,中型坦克,10,2,坦克
heavy_armor,重型坦克,10,2,坦克
modern_armor,现代坦克,10,2,坦克
amphibious_armor,两栖坦克营,10,2,坦克
amphibious_light_armor,轻型两栖坦克营,10,2,坦克
amphibious_medium_armor,中型两栖坦克营,10,2,坦克
amphibious_heavy_armor,重型两栖坦克营,10,2,坦克
amphibious_mechanized,两栖机步营,60,2,机械化
light_sp_anti_air_brigade,轻型自行防空炮,0,2,自行防空
medium_sp_anti_air_brigade,中型自行防空炮,0,2,自行防空
heavy_sp_anti_air_brigade,重型自行防空炮,0,2,自行防空
modern_sp_anti_air_brigade,现代自行防空炮,0,2,自行防空
light_sp_artillery_brigade,轻型自行火炮,0,2,自行火炮
medium_sp_artillery_brigade,中型自行火炮,0,2,自行火炮
heavy_sp_artillery_brigade,重型自行火炮,0,2,自行火炮
modern_sp_artillery_brigade,现代自行火炮,0,2,自行火炮
light_tank_destroyer_brigade,轻型自行反坦克炮,0,2,自行反坦克
medium_tank_destroyer_brigade,中型自行反坦克炮,0,2,自行反坦克
heavy_tank_destroyer_brigade,重型自行反坦克炮,0,2,自行反坦克
modern_tank_destroyer_brigade,现代自行反坦克炮,0,2,自行反坦克
artillery_brigade,炮兵,0,3,牵引火炮
mot_artillery_brigade,摩托化炮兵,0,3,牵引火炮
rocket_artillery_brigade,火箭炮,0,3,牵引火炮
mot_rocket_artillery_brigade,牵引式火箭炮营,0,3,牵引火炮
motorized_rocket_brigade,自行火箭炮,0,3,牵引火炮
anti_tank_brigade,反坦克炮,0,1,反坦克
mot_anti_tank_brigade,摩托化反坦克炮,0,1,反坦克
anti_air_brigade,防空炮,0,1,防空
mot_anti_air_brigade,摩托化防空炮,0,1,防空
